gst_number,salesman_name,s_id,salesman_contact,salesman_email,transportation_mode,item_id
460308556DL5828,Kelley,SID361,2381515839,kgenny0@businessweek.com,Elan,G1454
270085987EW7319,Troy,SID769,5155434683,thagger1@yelp.com,LS,G1650
280161896IK3557,Gerard,SID981,2297568221,gpawlett2@noaa.gov,Lancer,G1917
438419772BK5544,Adair,SID777,2923638542,atobias3@geocities.com,Chariot,G6800
916300894HR2339,Sacha,SID937,7766343632,sgeldeard4@nsw.gov.au,Sedona,G5958
504705845OA7107,Lishe,SID769,2899829353,lbohea5@jiathis.com,Chariot,G9949
899836537ZM6794,Xylia,SID705,5117397444,xcunniam6@tiny.cc,Sonata,G5813
052446585YD5333,Corney,SID370,7736840584,cdaldan7@cbsnews.com,C-Class,G5394
676553959CU5198,Jedidiah,SID705,1548152432,jdeelay8@apple.com,Ram Van 3500,G2217
717094971CF4059,Adamo,SID378,3026205649,afeaviour9@cnbc.com,C70,G3499
800499092FM6444,Antonie,SID261,4053793321,aboaysa@discuz.net,Probe,G0042
607749553ZF0579,Aubry,SID516,4641546133,ashepherdb@github.com,Ram 3500,G7313
585547440IJ2724,Kahlil,SID029,3106111635,kbiddlecombec@independent.co.uk,Viper,G7478
742704177NI6859,Em,SID765,4444219640,etapendend@barnesandnoble.com,Cougar,G2876
210326408JB7936,Larisa,SID340,9059396497,lpaytone@prlog.org,Venture,G4801
955306041UR5422,Nevins,SID614,3671999746,nizkoveskif@fema.gov,CR-Z,G3821
982766862DP7732,Irene,SID417,2382451515,ilangmuirg@tmall.com,Mustang,G7854
302184140IT3121,Lindsey,SID033,9467042793,lnormanellh@domainmarket.com,Range Rover,G6411
166402452IU9909,Ignacius,SID442,2238108744,inicklini@economist.com,SX4,G4781
515060203XJ8805,Augusto,SID269,4477954674,agreenigj@wordpress.org,tC,G7809
540759223HR7153,Merrie,SID055,5854715383,mbestwickk@ezinearticles.com,E350,G6911
955945493XD0121,Melisande,SID755,6194510553,mlyonm@ox.ac.uk,S60,G8893
765789124XY1987,Carter,SID556,2713224310,creesen@independent.co.uk,CR-V,G5019
135177257RI3694,Denney,SID144,5891965144,dstriblingo@va.gov,Azera,G2801
570503209VR0580,Layla,SID535,9498986163,lcastelp@edublogs.org,Stealth,G5854
415459501OI6440,Channa,SID972,8602050745,cmayesq@arizona.edu,Savana 2500,G3784
113800519MD0662,Alexandrina,SID934,7685735135,acoker@army.mil,Tacoma Xtra,G2299
550526759YI3292,Kiley,SID818,6558729932,kmagoverns@dagondesign.com,Grand Am,G0897
